---config@码表分类=主码-系统码表
---config@码表别名=系统词库
而	a
菽	ayhg
葉	aas
葉	aasc
龀	amb
茔	ardf
菔	amz
菔	amzg
菹	aehl
莼	ajh
莼	ajhn
萋	ahb
萋	ahbb
萘	akh
萘	akhn
蘩	acej
蘖	afec
芤	aisc
葎	arb
葎	arbm
迓	aow
艽	aeu
葑	adde
蓼	azuc
薹	adt
薹	adty
荽	aybx
旒	acb
旒	acbq
莪	afop
鄞	atsf
旄	acm
旄	acmk
蕖	aexc
萑	aoj
蘼	azg
蘼	azgh
蒌	apb
蒌	apbx
苊	avz
苊	avzu
薅	abh
薅	abhe
藁	adc
藁	adck
莩	ayi
莩	ayij
葚	azis
芑	amu
菘	acie
茭	asb
茭	asbj
荸	axr
荸	axri
菡	asek
葜	asp
葜	aspk
蒴	ain
蒴	ainm
鸸	avx
苒	akd
苒	akdf
蒡	ajra
檠	adic
葳	axhb
蕤	aua
蕤	auan
遊	acio
歃	apc
歃	apcl
蓍	alqg
蕈	amq
蕈	amqx
薑	ahlh
眚	alk
蓐	ahe
蓐	ahew
莳	aqe
莳	aqew
蒹	aibw
蓊	aie
蓊	aiez
茕	arsx
蕞	aql
蕞	aqlg
颟	akr
颟	akry
蒽	agki
荑	akbd
艹	aw
荦	arl
荦	arlx
艸	aw
茌	audn
荇	apv
贳	asqb
丌	aw
蓥	arz
蓥	arzu
蘧	azuo
葸	ali
葸	aliv
芘	ammb
萁	azib
蓁	asjv
蓠	azb
蓠	azbm
菰	aiyd
蕻	apa
蕻	apai
茳	aeo
茳	aeod
茆	abk
茛	ajd
荜	ammx
蔸	aob
蔸	aobp
薤	adg
薤	adgh
蔸	abop
瞢	ayrl
莨	ajj
莨	ajjd
萆	aof
萆	aofx
蒉	awq
蒉	awqb
蕺	atlp
恧	aiv
甍	ayrg
葶	ads
葶	adst
蔟	aac
蔟	aacq
邡	afc
芴	axcn
蒇	axqb
蓰	arnn
蔌	avc
蔌	avcl
薦	avh
薦	avhw
眢	azl
眢	azlk
茚	abhz
茺	abpc
茼	akht
莛	afd
莛	afdo
