---config@码表分类=主码-用户码表
---config@码表别名=用户词库
→_→ 	pini#固
哈哈哈哈哈哈哈哈	tttt#固
™	ucbx#固
骗骗	xkxk#固
... 	;s
好好好	bbbi
好开心	bhiv
好乖	bias
 B 站	bijy
 T^T 	daku
新番	jcfp
0  0	jing
西语	mvnr
✗	osgj
✓	osxe
 QQ 	otot
跟读	pjnx
式神	pohq
州税	qqvi
晚矣	qreq
... 	slh
北加	smnt
听写	tfrh
嗯哼	tgtd
嗯啊	tgtf
嗯哪	tgts
 T 恤	tiif
中二病	tksh
啊啊啊	tttf
入坑	uodz
傲娇	usbf
解谜	vfnp
色子	vkij
 WiFi 	wifi
-   -。	wuyu
现充	xcbp
玩儿	xkpc
桌游	yqea
辅码	yxkx
魔物	zslx
